name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Esteban Ribovics,0,0,80,0,0,0,25,85,0,,140001458
Kamuela Kirk,0,0,80,0,0,0,50,8,0,,140000489
Jesus Aguilar,100,0,0,0,0,0,25,1,0,,140001542
Shannon Ross,0,0,0,0,0,0,50,0,0,,140001505
Abus Magomedov,100,0,0,0,0,0,25,7,25,,140001357
Grant Dawson,100,360,240,0,0,0,0,99,0,,140000156
Damir Ismagulov,0,0,320,0,70,0,50,114,0,,140000099
Ismael Bonfim,100,0,0,0,0,0,25,21,0,,140001590
Michael Morales,200,0,80,0,0,0,0,73,0,,140001209
Max Griffin,300,0,160,75,70,0,200,155,0,,140000036
Ariane Lipski,0,90,240,0,70,0,125,120,0,,140000012
Melissa Gatto,100,0,0,0,0,0,50,49,0,,140000913
Nursulton Ruziboev,100,0,0,0,0,0,0,3,0,,140005009
Brunno Ferreira,100,0,0,0,0,0,25,1,0,,140001628
Rinat Fakhretdinov,0,90,160,0,0,0,0,75,0,,140001419
Kevin Lee,200,360,240,0,70,0,200,218,150,,140000369
Joanderson Brito,200,90,0,0,0,0,25,29,0,,140001150
Westin Wilson,0,0,0,0,0,0,25,0,0,,140005010
Karol Rosa,0,0,240,75,140,0,50,183,0,,140000580
Yana Santos,0,0,320,0,0,0,125,175,25,,140000159
Luana Carolina,0,0,240,0,70,0,75,91,0,,140000336
Ivana Petrovic,0,0,0,0,0,0,25,0,0,,140001730
Alexandr Romanov,100,270,80,0,70,0,50,160,0,,140000903
Blagoy Ivanov,0,0,240,0,0,0,125,11,25,,140000167
Elves Brener,100,0,0,0,70,0,0,0,0,,140001678
Guram Kutateladze,0,0,0,0,70,0,50,20,0,,140001054
Maycee Barber,400,0,160,0,140,0,50,200,0,,140000211
Amanda Ribas,0,180,320,0,0,0,75,210,0,,140000432
Brendan Allen,100,540,240,0,0,0,50,88,0,,140000472
Bruno Silva,600,90,0,0,0,0,125,101,0,,140000880
Phil Rowe,300,0,0,0,0,0,50,29,0,,140000568
David Onama,200,90,0,0,0,0,50,25,0,,140001325
Gabriel Santos,0,0,0,0,0,0,50,0,0,,140001707
Ilia Topuria,300,90,160,0,0,0,0,92,25,,140001049
Josh Emmett,300,0,320,0,140,0,100,64,100,,140000243
Randy Brown,200,270,400,0,70,0,125,213,0,,140000420
Wellington Turman,0,90,80,0,70,0,125,1,0,,140000468
Mateusz Rebecki,100,0,80,0,0,0,0,90,0,,
Loik Radzhabov,0,0,80,0,0,0,25,0,0,,140001345
Trevor Peek,100,0,0,0,0,0,25,44,0,,140001617
Tabatha Ricci,0,90,240,0,0,0,25,54,0,,140001127
Gillian Robertson,100,630,80,0,0,0,150,88,0,,140000108
Joshua Van,0,0,0,0,70,0,0,17,0,,140005005
Zhalgas Zhumagulov,0,90,0,0,0,0,150,18,0,,140000919
Jamall Emmers,0,0,160,0,0,0,75,84,0,,140000783
Sedriques Dumas,0,0,80,0,0,0,25,14,0,,140001583
Jared Cannonier,600,0,240,0,70,0,150,217,125,,140000348
Marvin Vettori,0,180,560,0,0,0,125,255,125,,140000467
Armen Petrosyan,0,0,160,0,70,0,25,175,0,,140001282
Christian Leroy Duncan,100,0,0,0,0,0,25,5,0,,140001680
Arman Tsarukyan,300,0,320,0,0,0,50,237,25,,140000286
Joaquim Silva,300,0,0,0,140,0,100,24,0,,140000519
Pat Sabatini,0,180,240,0,0,0,25,53,0,,140001104
Lucas Almeida,100,0,0,0,0,0,25,44,0,,140001214
Manuel Torres,200,0,0,0,0,0,0,24,0,,140001313
Nikolas Motta,100,0,0,0,0,0,50,9,0,,140001074
Kyung Ho Kang,0,360,80,0,210,0,75,108,0,,140000057
Cristian Quinonez,100,0,0,0,0,0,25,13,0,,
Alessandro Costa,100,0,0,0,0,0,25,51,0,,140001495
Jimmy Flick,0,90,0,0,0,0,50,0,0,,140001014
Nicolas Dalby,0,0,320,0,140,0,75,131,0,,140000620
Muslim Salikhov,300,0,160,0,70,0,75,97,0,,140000594
Carlos Hernandez,0,0,80,0,70,0,25,31,0,,140001249
Denys Bondar,0,0,0,0,0,0,50,1,0,,140001100
Modestas Bukauskas,100,0,160,0,0,0,75,2,0,,140000922
Zac Pauga,0,0,80,0,0,0,50,61,0,,140001512
Tereza Bleda,0,0,80,0,0,0,25,34,0,,140001589
Gabriella Fernandes,0,0,0,0,0,0,50,2,0,,140001679
Mike Malott,100,180,0,0,0,0,0,33,0,,140001242
Adam Fugitt,100,0,0,0,0,0,50,11,0,,140001521
Amanda Nunes,700,270,400,0,70,0,50,480,300,,140000446
Irene Aldana,300,90,160,0,70,0,125,121,50,,140000345
Charles Oliveira,400,1440,160,0,0,0,225,194,150,,140000045
Beneil Dariush,300,450,480,0,140,0,125,255,0,,140000165
Nate Landwehr,0,180,80,75,0,0,75,65,0,,140000889
Marc-Andre Barriault,200,90,160,0,0,0,125,106,0,,140000322
Eryk Anders,400,0,160,0,70,0,200,90,50,,140000264
Aiemann Zahabi,200,0,160,0,0,0,50,31,0,,140000318
Aoriqileng,100,0,80,0,0,0,75,36,0,,
Blake Bilder,0,0,80,0,0,0,25,31,0,,140001579
Steve Erceg,0,0,80,0,0,0,0,1,0,,140001725
David Dvorak,0,90,160,0,0,0,75,43,0,,140000901
Amir Albazi,100,180,80,0,70,0,0,39,25,,140000946
Kai Kara-France,200,0,320,0,70,0,100,230,50,,140000059
Daniel Pineda,100,360,0,0,0,0,150,87,0,,140000931
Diana Belbita,0,0,160,0,0,0,75,70,0,,140000635
Maria Oliveira,0,0,0,0,70,0,75,32,0,,140000851
Jim Miller,600,990,480,0,140,0,400,292,50,,140000292
Jesse Butler,0,0,0,0,0,0,25,0,0,,140001731
Ketlen Souza,0,0,0,0,0,0,25,0,0,,140001728
Tim Elliott,0,90,560,0,0,0,250,206,25,,140000632
Victor Altamirano,100,0,80,0,0,0,50,51,0,,140001147
Daniel Santos,100,0,80,0,0,0,25,44,0,,140001262
Johnny Munoz,0,90,80,0,0,0,75,57,0,,140000980
Elizeu Zaleski dos Santos,300,90,320,0,140,0,75,227,0,,140000170
Abubakar Nurmagomedov,0,0,160,0,0,0,50,21,0,,140000885
John Castaneda,100,90,80,0,0,0,50,49,0,,140000943
Muin Gafurov,0,0,0,0,0,0,25,21,0,,140001168
Muhammad Naimov,100,0,0,0,0,0,0,0,0,,140001034
Jinh Yu Frey,0,0,160,0,0,0,125,0,0,,140000929
Luan Lacerda,0,0,0,0,0,0,50,0,0,,140001669
Don'Tale Mayes,200,0,80,0,0,0,75,17,0,,140000476
Andrei Arlovski,900,180,720,0,210,0,400,396,200,,140000298
Philipe Lins,100,0,160,0,0,0,50,21,0,,140000904
Maxim Grishin,100,0,80,0,0,0,75,79,0,,140000936
Emily Ducote,0,0,80,0,0,0,50,53,0,,140001449
Joaquin Buckley,400,0,0,0,70,0,100,86,0,,140000989
Anthony Hernandez,100,270,80,0,0,0,50,88,0,,140000040
Edmen Shahbazyan,300,90,0,0,70,0,100,67,0,,140000130
Mackenzie Dern,0,360,160,0,140,0,75,120,75,,140000633
Angela Hill,100,0,640,0,0,0,325,401,50,,140000203
Viacheslav Borshchev,200,0,0,0,0,0,50,58,0,,140001268
Maheshate,100,0,0,0,0,0,50,0,0,,
Gilbert Urbina,100,0,0,0,0,0,25,35,0,,140001184
Orion Cosce,0,0,80,0,0,0,50,0,0,,140000986
Diego Ferreira,400,180,240,0,0,0,125,195,0,,140000102
Michael Johnson,500,0,560,0,70,0,375,359,50,,140000242
Karolina Kowalkiewicz,0,90,400,0,140,0,175,296,25,,140000241
Vanessa Demopoulos,0,90,80,0,70,0,50,4,0,,140000971
Rodrigo Nascimento,0,90,0,0,140,0,25,24,0,,140000506
Ilir Latifi,300,180,240,0,70,0,175,69,0,,140000538
Victoria Leonardo,0,0,80,0,0,0,75,0,0,,140001079
Jailton Almeida,200,270,0,0,0,0,0,112,25,,140001138
Jairzinho Rozenstruik,700,0,0,0,0,0,125,63,125,,140000034
Chase Hooper,200,90,80,0,0,0,75,164,0,,140000820
Nick Fiore,0,0,0,0,0,0,50,0,0,,140001671
Johnny Walker,500,90,80,0,0,0,100,112,50,,140000043
Themba Gorimbo,0,0,80,0,0,0,25,3,0,,140001697
Takashi Sato,200,0,0,0,0,0,125,16,0,,140000301
Daniel Rodriguez,200,90,240,0,70,0,75,262,0,,140000508
Alex Morono,200,180,560,0,70,0,125,274,0,,140000150
Ihor Potieria,100,0,0,0,0,0,50,4,0,,140001142
Karl Williams,0,0,160,0,0,0,0,28,0,,140001616
Chase Sherman,300,0,80,0,0,0,275,173,0,,140000736
Matt Brown,1300,180,160,0,0,0,325,362,50,,140000653
Court McGee,0,180,560,0,70,0,275,324,0,,140000289
Mandy Bohm,0,0,0,0,70,0,50,20,0,,140001182
Ji Yeon Kim,100,0,0,0,140,0,175,111,0,,140000623
Gabe Green,100,0,80,0,0,0,75,38,0,,140000911
Tainara Lisboa,0,90,0,0,0,0,0,16,0,,140001712
Jessica-Rose Clark,100,0,160,0,70,0,125,104,0,,140000654
Douglas Silva de Andrade,200,90,320,0,0,0,125,72,0,,140000679
Cody Stamann,100,0,320,0,140,0,125,189,0,,140000134
Yan Xiaonan,100,0,480,75,0,0,50,317,25,,140000394
Movsar Evloev,0,0,480,0,70,0,0,199,0,,140000277
Henry Cejudo,400,0,320,0,140,0,75,217,150,,140000026
Belal Muhammad,200,90,800,0,70,0,75,299,50,,140000004
Gilbert Burns,300,450,560,0,0,0,150,195,75,,140000294
Kron Gracie,0,90,0,0,0,0,50,0,0,,140000092
