name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Mark Bocek,0,360,240,0,70,0,125,138,0,683,140003650
Alonzo Menifield,400,180,80,0,0,0,75,98,0,683,140000009
Brandon Vera,400,90,240,0,0,0,175,102,25,682,140004418
Sergei Pavlovich,600,0,0,0,0,0,25,82,25,682,140000283
Ben Saunders,300,270,160,0,70,0,250,132,0,682,140000300
Takeya Mizugaki,100,0,320,0,210,0,150,201,0,681,140004542
Aaron Simpson,200,0,320,0,70,0,100,190,0,680,140003122
Erin Blanchfield,0,270,240,0,0,0,0,144,25,679,140001116
Ryan LaFlare,0,0,560,0,0,0,75,167,25,677,140000733
Drakkar Klose,100,0,400,0,70,0,50,156,0,676,140000552
Mairbek Taisumov,500,0,160,0,0,0,50,63,0,673,140000600
Sean Sherk,0,90,400,0,70,0,100,112,100,672,140004185
Uriah Hall,600,0,80,0,70,0,225,71,75,671,140000604
Hakeem Dawodu,100,0,160,0,210,0,100,301,0,671,140000500
Pat Miletich,100,270,80,0,140,0,50,55,75,670,140002266
Aleksandar Rakic,200,0,320,0,0,0,50,173,25,668,140000387
Ilia Topuria,300,90,160,0,0,0,0,92,25,667,140001049
JunYong Park,0,270,160,75,70,0,50,142,0,667,140000587
Irene Aldana,300,90,160,0,70,0,125,121,50,666,140000345
Bruno Silva,600,90,0,0,0,0,125,101,0,666,140000880
Dan Severn,0,450,160,0,70,0,100,84,0,664,140002506
Chas Skelly,200,360,160,0,0,0,75,17,0,662,140000602
Mario Bautista,100,270,240,0,0,0,50,101,0,661,140000008
Dominick Reyes,300,90,80,0,70,0,100,120,100,660,140000193
Devin Clark,100,0,560,0,0,0,200,174,25,659,140000371
Zabit Magomedsharipov,0,270,240,0,0,0,0,147,0,657,140000137
Volkan Oezdemir,300,90,80,0,140,0,150,147,50,657,140000192
Sam Alvey,500,90,160,0,140,0,325,91,0,656,140000065
